TARG_ID,TARG_ID,OBSPROJECT_UID,SG_ID,tarType,solarSystem,sourceName,RA,DEC,isMosaic,isRect,PA,rect_width,rect_height,centerVel,centerVel_units,centerVel_refsys,centerVel_doppler,lineWidth
uid://A001/X112/X490_06_8,uid://A001/X112/X490_06_8,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J2353.3-4805,358.2925,-48.0995,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_06_9,uid://A001/X112/X490_06_9,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J2357.8-5310,359.47141666666664,-53.187666666666665,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_06_10,uid://A001/X112/X490_06_10,uid://A001/X112/X490,uid://A001/X112/X490_06,F_MultiplePoints,Unspecified,3FGL_J2358.0-4552,359.50879166666664,-45.922111111111114,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_07_1,uid://A001/X112/X490_07_1,uid://A001/X112/X490,uid://A001/X112/X490_07,F_MultiplePoints,Unspecified,3FGL_J0515.3-4557,78.68304166666667,-45.90983333333333,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_07_2,uid://A001/X112/X490_07_2,uid://A001/X112/X490,uid://A001/X112/X490_07,F_MultiplePoints,Unspecified,3FGL_J0519.2-4542,79.95708333333333,-45.77880555555556,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_07_3,uid://A001/X112/X490_07_3,uid://A001/X112/X490,uid://A001/X112/X490_07,F_MultiplePoints,Unspecified,3FGL_J0525.3-4558,81.380375,-45.96538888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_07_4,uid://A001/X112/X490_07_4,uid://A001/X112/X490,uid://A001/X112/X490_07,F_MultiplePoints,Unspecified,3FGL_J0526.2-4829,81.56866666666667,-48.51047222222222,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_07_5,uid://A001/X112/X490_07_5,uid://A001/X112/X490,uid://A001/X112/X490_07,F_MultiplePoints,Unspecified,3FGL_J0532.0-4827,82.99345833333334,-48.46033333333333,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_07_6,uid://A001/X112/X490_07_6,uid://A001/X112/X490,uid://A001/X112/X490_07,F_MultiplePoints,Unspecified,3FGL_J0538.8-4405,84.70908333333334,-44.086194444444445,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_07_7,uid://A001/X112/X490_07_7,uid://A001/X112/X490,uid://A001/X112/X490_07,F_MultiplePoints,Unspecified,3FGL_J0556.0-4353,89.078125,-43.86280555555555,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_07_8,uid://A001/X112/X490_07_8,uid://A001/X112/X490,uid://A001/X112/X490_07,F_MultiplePoints,Unspecified,3FGL_J0604.1-4817,91.03591666666667,-48.28986111111111,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_07_9,uid://A001/X112/X490_07_9,uid://A001/X112/X490,uid://A001/X112/X490_07,F_MultiplePoints,Unspecified,3FGL_J0606.4-4729,91.64925,-47.49825,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_08_1,uid://A001/X112/X490_08_1,uid://A001/X112/X490,uid://A001/X112/X490_08,F_MultiplePoints,Unspecified,3FGL_J0754.4-1148,118.61041666666667,-11.787861111111111,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_08_2,uid://A001/X112/X490_08_2,uid://A001/X112/X490,uid://A001/X112/X490_08,F_MultiplePoints,Unspecified,3FGL_J0805.0-0622,121.2405,-6.407388888888889,True,False,0,0,0,,,,,0.0
uid://A001/X112/X490_08_3,uid://A001/X112/X490_08_3,uid://A001/X112/X490,uid://A001/X112/X490_08,F_MultiplePoints,Unspecified,3FGL_J0807.1-0541,121.79004166666667,-5.687083333333334,True,False,0,0,0,,,,,0.0
