Year      Month  Day    Hour  PWV
2011      2     18     18     9.287
2011      2     18     21     10.451
2011      2     19      0     9.237
2011      2     19      3     NaN
2011      2     19      6     9.533
2011      2     19      9     NaN
2011      2     19     12     NaN
2011      2     19     15     11.994
2011      2     19     18     NaN
2011      2     19     21     NaN
2011      2     20      0     NaN
2011      2     20      3     NaN
2011      2     20      6     NaN
2011      2     20      9     NaN
2011      2     20     12     NaN
2011      2     20     15     6.287
2011      2     20     18     NaN
2011      2     20     21     9.824
2011      2     21      0     8.852
2011      2     21      3     9.281
2011      2     21      6     10.271
2011      2     21      9     9.980
2011      2     21     12     9.715
2011      2     21     15     9.499
2011      2     21     18     12.744
2011      2     21     21     11.455
2011      2     22      0     6.882
2011      2     22      3     7.912
2011      2     22      6     7.713
2011      2     22      9     7.752
2011      2     22     12     7.605
2011      2     22     15     9.199
2011      2     22     18     7.262
2011      2     22     21     6.615
2011      2     23      0     5.637
2011      2     23      3     5.167
2011      2     23      6     NaN
2011      2     23      9     NaN
2011      2     23     12     3.703
2011      2     23     15     5.780
2011      2     23     18     4.947
2011      2     23     21     5.508
2011      2     24      0     3.576
2010      1      1      0     NaN
2010      1      1      3     0.500
2010      1      1      6     0.547
2010      1      1      9     0.384
2010      1      1     12     0.398
2010      1      1     15     0.598
2010      1      1     18     0.872
2010      1      1     21     1.334
2010      1      2      0     2.061
2010      1      2      3     NaN
2010      1      2      6     NaN
2010      1      2      9     NaN
2010      1      2     12     NaN
2010      1      2     15     NaN
2010      1      2     18     NaN
2010      1      2     21     2.522
2010      1      3      0     2.152
2010      1      3      3     2.120
2010      1      3      6     2.145
2010      1      3      9     1.722
2010      1      3     12     1.739
2010      1      3     15     2.854
2010      1      3     18     3.052
2010      1      3     21     3.978
2010      1      4      0     3.155
2010      1      4      3     1.893
2010      1      4      6     2.524
2010      1      4      9     2.918
2010      1      4     12     4.042
2010      1      4     15     5.491
2010      1      4     18     5.531
2010      1      4     21     5.815
2010      1      5      0     5.833
2010      1      5      3     NaN
2010      1      5      6     NaN
2010      1      5      9     NaN
2010      1      5     12     NaN
2010      1      5     15     NaN
2010      1      5     18     NaN
2010      1      5     21     NaN
2010      1      6      0     NaN
2010      1      6      3     6.887
2010      1      6      6     7.229
2010      1      6      9     6.373
2010      1      6     12     5.253
2010      1      6     15     7.797
2010      1      6     18     6.687
2010      1      6     21     NaN
2010      1      7      0     NaN
2010      1      7      3     NaN
2010      1      7      6     NaN
2010      1      7      9     NaN
2010      1      7     12     NaN
2010      1      7     15     NaN
2010      1      7     18     NaN
2010      1      7     21     2.797
2010      1      8      0     4.068
2010      1      8      3     2.595
2010      1      8      6     1.720
2010      1      8      9     0.906
2010      1      8     12     0.788
2010      1      8     15     0.779
2010      1      8     18     1.337
2010      1      8     21     1.438
2010      1      9      0     2.466
2010      1      9      3     1.244
2010      1      9      6     2.676
2010      1      9      9     2.882
2010      1      9     12     3.234
2010      1      9     15     3.348
2010      1      9     18     3.403
2010      1      9     21     2.948
2010      1     10      0     3.197
2010      1     10      3     1.793
2010      1     10      6     1.630
2010      1     10      9     1.216
2010      1     10     12     0.853
2010      1     10     15     0.786
2010      1     10     18     NaN
2010      1     10     21     NaN
2010      1     11      0     3.152
2010      1     11      3     NaN
2010      1     11      6     1.686
2010      1     11      9     0.745
2010      1     11     12     1.417
2010      1     11     15     NaN
2010      1     11     18     NaN
2010      1     11     21     0.888
2010      1     12      0     1.789
2010      1     12      3     1.145
2010      1     12      6     0.373
2010      1     12      9     0.367
2010      1     12     12     0.886
2010      1     12     15     2.447
2010      1     12     18     2.743
2010      1     12     21     3.743
2010      1     13      0     3.189
2010      1     13      3     0.807
2010      1     13      6     0.570
2010      1     13      9     0.507
2010      1     13     12     0.544
2010      1     13     15     0.942
2010      1     13     18     1.702
2010      1     13     21     3.262
2010      1     14      0     2.817
2010      1     14      3     NaN
2010      1     14      6     NaN
2010      1     14      9     NaN
2010      1     14     12     NaN
2010      1     14     15     NaN
2010      1     14     18     1.156
2010      1     14     21     3.171
2010      1     15      0     3.565
2010      1     15      3     0.472
2010      1     15      6     0.513
2010      1     15      9     0.388
2010      1     15     12     0.412
2010      1     15     15     0.557
2010      1     15     18     1.111
2010      1     15     21     2.071
2010      1     16      0     3.067
2010      1     16      3     0.499
2010      1     16      6     0.572
2010      1     16      9     0.394
2010      1     16     12     0.348
2010      1     16     15     0.420
2010      1     16     18     1.182
2010      1     16     21     1.303
2010      1     17      0     0.859
2010      1     17      3     0.145
2010      1     17      6     0.200
2010      1     17      9     0.173
2010      1     17     12     0.186
2010      1     17     15     0.296
2010      1     17     18     0.564
2010      1     17     21     0.644
2010      1     18      0     1.438
2010      1     18      3     0.687
2010      1     18      6     0.620
2010      1     18      9     0.602
2010      1     18     12     0.560
2010      1     18     15     0.954
2010      1     18     18     1.258
2010      1     18     21     2.028
2010      1     19      0     1.305
2010      1     19      3     0.955
2010      1     19      6     0.526
2010      1     19      9     0.212
2010      1     19     12     0.350
2010      1     19     15     0.485
2010      1     19     18     0.530
2010      1     19     21     0.765
2010      1     20      0     1.235
2010      1     20      3     1.106
2010      1     20      6     1.005
2010      1     20      9     0.863
2010      1     20     12     0.875
2010      1     20     15     1.707
2010      1     20     18     4.878
2010      1     20     21     5.524
2010      1     21      0     5.054
2010      1     21      3     3.195
2010      1     21      6     2.402
2010      1     21      9     0.863
2010      1     21     12     0.875
2010      1     21     15     1.707
2010      1     21     18     4.878
2010      1     21     21     5.524
2010      1     22      0     5.094
2010      1     22      3     NaN
2010      1     22      6     NaN
2010      1     22      9     NaN
2010      1     22     12     NaN
2010      1     22     15     NaN
2010      1     22     18     NaN
2010      1     22     21     NaN
2010      1     23      0     NaN
2010      1     23      3     NaN
2010      1     23      6     NaN
2010      1     23      9     NaN
2010      1     23     12     NaN
2010      1     23     15     NaN
2010      1     23     18     NaN
2010      1     23     21     NaN
2010      1     24      0     NaN
2010      1     24      3     NaN
2010      1     24      6     NaN
2010      1     24      9     NaN
2010      1     24     12     NaN
2010      1     24     15     NaN
2010      1     24     18     NaN
2010      1     24     21     NaN
2010      1     25      0     NaN
2010      1     25      3     NaN
2010      1     25      6     NaN
2010      1     25      9     NaN
2010      1     25     12     NaN
2010      1     25     15     5.186
2010      1     25     18     4.104
2010      1     25     21     5.089
2010      1     26      0     0.809
2010      1     26      3     3.908
2010      1     26      6     4.268
2010      1     26      9     4.517
2010      1     26     12     3.955
2010      1     26     15     4.627
2010      1     26     18     3.696
2010      1     26     21     3.479
2010      1     27      0     3.615
2010      1     27      3     2.603
2010      1     27      6     3.648
2010      1     27      9     3.131
2010      1     27     12     3.188
2010      1     27     15     NaN
2010      1     27     18     NaN
2010      1     27     21     NaN
2010      1     28      0     NaN
2010      1     28      3     NaN
2010      1     28      6     NaN
2010      1     28      9     NaN
2010      1     28     12     NaN
2010      1     28     15     3.809
2010      1     28     18     NaN
2010      1     28     21     4.375
2010      1     29      0     NaN
2010      1     29      3     3.546
2010      1     29      6     3.550
2010      1     29      9     4.070
2010      1     29     12     2.733
2010      1     29     15     2.807
2010      1     29     18     5.361
2010      1     29     21     6.735
2010      1     30      0     7.471
2010      1     30      3     6.771
2010      1     30      6     7.118
2010      1     30      9     5.184
2010      1     30     12     4.350
2010      1     30     15     5.842
2010      1     30     18     7.950
2010      1     30     21     8.668
2010      1     31      0     8.696
2010      1     31      3     8.754
2010      1     31      6     11.986
2010      1     31      9     11.667
2010      1     31     12     10.938
2010      1     31     15     12.876
2010      1     31     18     11.968
2010      1     31     21     13.554
2010      2      1      0     11.064
2010      2      1      3     10.519
2010      2      1      6     10.957
2010      2      1      9     10.887
2010      2      1     12     10.268
2010      2      1     15     11.196
2010      2      1     18     10.863
2010      2      1     21     11.274
2010      2      2      0     9.634
2010      2      2      3     9.527
2010      2      2      6     10.148
2010      2      2      9     7.187
2010      2      2     12     6.986
2010      2      2     15     8.110
2010      2      2     18     6.699
2010      2      2     21     7.274
2010      2      3      0     3.610
2010      2      3      3     3.716
2010      2      3      6     4.034
